Cm7;02.133
F7;04.399
Bbmaj7;06.266
Ebmaj7;8.333
Aø;10.266
D7;12.333
Gm7;14.333
G7;17.333
Cm7;18.333
F7;20.333
Bbmaj7;22.333
Ebmaj7;24.333
Aø;26.3
D7;28.3
Gm7;30.3
Aø;34.3
D7;36.3
Gm7;38.3
Cm7;42.3
F7;44.3
Bb;46.3
Dø;48.3
G7;49.3
Cm7;50.3
D7;52.3
Gm7;54.3
C7;55.3
Fm7;56.3
Bb7;57.3
Eb7;58.3
D7;60.3
Gm7;62.3
Cm7;66.3
F7;68.3
Bbmaj7;70.3
Ebmaj7;72.3
Aø;74.3
D7;76.3
Gm7;78.3
G7;81.3
Cm7;82.3
F7;84.3
Bbmaj7;86.3
Ebmaj7;88.3
Aø;90.3
D7;92.3
Gm7;94.3
Aø;98.3
D7;100.3
Gm7;102.3
Cm7;106.3
F7;108.3
Bb;110.3
Dø;112.3
G7;113.3
Cm7;114.3
D7;116.3
Gm7;118.3
C7;119.3
Fm7;120.3
Bb7;121.3
Eb7;122.3
D7;124.3
Gm7;126.3
G7;129.3
Cm7;130.3
F7;132.3
Bbmaj7;134.3
Ebmaj7;136.3
Aø;138.3
D7;140.3
Gm7;142.3
G7;145.3
Cm7;146.3
F7;148.3
Bbmaj7;150.3
Ebmaj7;152.3
Aø;154.3
D7;156.3
Gm7;158.3
Aø;162.3
D7;164.3
Gm7;166.3
Cm7;170.3
F7;172.3
Bb;174.3
Dø;176.3
G7;177.3
Cm7;178.3
D7;180.3
Gm7;182.3
C7;183.3
Fm7;184.3
Bb7;185.3
Eb7;186.3
D7;188.3
Gm7;190.3
G7;193.3
Cm7;194.3
F7;196.3
Bbmaj7;198.3
Ebmaj7;200.3
Aø;202.3
D7;204.3
Gm7;206.3
G7;209.3
Cm7;210.3
F7;212.3
Bbmaj7;214.3
Ebmaj7;216.3
Aø;218.3
D7;220.3
Gm7;222.3
Aø;226.3
D7;228.3
Gm7;230.3
Cm7;234.3
F7;236.3
Bb;238.3
Dø;240.3
G7;241.3
Cm7;242.3
D7;244.3
Gm7;246.5
C7;247.5
Fm7;248.5
Bb7;249.5
Eb7;250.5
D7;252.5
Gm7;254.5
G7;257.5
Cm7;258.5
F7;260.5
Bbmaj7;262.5
Ebmaj7;264.5
Aø;266.5
D7;268.5
Gm7;270.5
G7;273.5
Cm7;274.5
F7;276.5
Bbmaj7;278.5
Ebmaj7;280.5
Aø;282.5
D7;284.5
Gm7;286.5
Aø;290.5
D7;292.5
Gm7;294.5
Cm7;298.5
F7;300.6
Bbmaj7;302.6
Dø;304.6
G7;305.6
Cm;306.6
D7;308.6
Gm7;310.6
C7;311.6
Fm7;312.6
Bb7;313.6
Eb7;314.6
D7;316.6
Gm7;318.6
C7;320.6
D7;321.6
Gm7;322.6
C7;324.3
D7;325.6
Gm7;330.6
C7;332.3
D7;333.6
Gm7;334.6
C7;336.3
D7;337.6
Gm7;338.6
C7;340.3
D7;341.6
Gm7;342.6
C7;344.3
D7;345.6
Gm7;346.6
C7;348.3
D7;349.6
Gm7;350.6
C7;352.3
D7;353.6
Gm7;354.6
